YEAR,MONTH,CARRIER,MISHANDLED_BAG,TOTAL_BAG
2016,4,Spirit,3644,2061513
2016,10,American,24419,13158068
2016,10,Alaska,2072,2416457
2016,10,JetBlue,3303,3411901
2016,10,Delta,13623,13867192
2016,10,Frontier,6189,1716313
2016,10,Hawaiian,2317,1102009
2016,10,Spirit,2846,2075494
2016,10,United,14965,9195832
2016,10,Southwest,29068,16932794
2016,11,American,23105,12549170
2016,11,Alaska,2142,2438891
2016,11,JetBlue,3512,3493697
2016,11,Delta,12468,13144346
2016,11,Frontier,3701,1554908
2016,11,Hawaiian,1835,1028918
2016,11,Spirit,2737,2103886
2016,11,United,12665,8513084
2016,11,Southwest,31000,16720907
2016,12,American,37769,12711005
2016,12,Alaska,3919,2492920
2016,12,JetBlue,5082,3646345
2016,12,Delta,24396,12446138
2016,12,Frontier,8269,1539169
2016,12,Hawaiian,2600,1104108
2016,12,Spirit,3535,2194186
2016,12,United,25918,8406385
2016,12,Southwest,48783,16552394
2017,1,American,33827,12076382
2017,1,Alaska,3971,2331944
2017,1,JetBlue,5259,3559370
2017,1,Delta,26921,11371140
2017,1,Frontier,6827,1492360
2017,1,Hawaiian,2964,1098293
2017,1,Spirit,3029,2132980
2017,1,United,19309,7576494
2017,1,Southwest,37544,14600539
2017,2,American,20793,11340000
2017,2,Alaska,2914,2189236
2017,2,JetBlue,3373,3204998
2017,2,Delta,13091,11000557
2017,2,Frontier,3329,1374203
2017,2,Hawaiian,2185,977132
2017,2,Spirit,2364,2077275
2017,2,United,12193,7141425
2017,2,Southwest,24426,13755742
2017,3,American,28017,13910993
2017,3,Alaska,2907,2740629
2017,3,JetBlue,4701,3828126
2017,3,Delta,17739,14108117
2017,3,Frontier,3289,1657276
2017,3,Hawaiian,2322,1114614
2017,3,Spirit,2525,2474163
2017,3,United,16918,9085644
2017,3,Southwest,31753,17522509
2017,4,American,28327,13092058
2017,4,Alaska,2838,2611375
2017,4,JetBlue,4377,3787503
2017,4,Delta,30282,12939880
2017,4,Frontier,2881,1623075
2017,4,Hawaiian,2068,1064935
2017,4,United,14249,8754595
2017,4,Southwest,32361,17330404
2017,5,American,27199,13829197
2017,5,Alaska,3521,2852000
2017,5,JetBlue,4814,3777333
2017,5,Delta,18576,14459762
2017,5,Frontier,3499,1770348
2017,5,Hawaiian,2655,1148607
2017,5,Spirit,3110,2454436
2017,5,United,15259,9378434
2017,5,Southwest,39413,17638176
2017,6,American,34433,13990842
2017,6,Alaska,4146,2908568
2017,6,JetBlue,5314,3769370
2017,6,Delta,19382,14729914
2017,6,Frontier,3466,1884233
2017,6,Hawaiian,2551,1210334
2017,6,Spirit,3569,2550500
2017,6,United,19075,10030026
2017,6,Southwest,47202,18318148
2017,7,American,38235,14337285
2017,7,Alaska,4202,3055571
2017,7,JetBlue,5509,3958222
2017,7,Delta,20758,15218645
2017,7,Frontier,3875,2032181
2017,7,Hawaiian,2527,1274468
2017,7,Spirit,3751,2711085
2017,7,United,22901,10393573
2017,7,Southwest,48840,18779584
2017,8,American,30440,14146681
2017,8,Alaska,4554,3024303
2017,8,JetBlue,5348,3893592
2017,8,Delta,16815,15189929
2017,8,Frontier,3153,1956505
2017,8,Hawaiian,2110,1215432
2017,8,Spirit,3428,2704702
2017,8,United,19276,10015708
2017,8,Southwest,42818,17616557
2017,9,American,21461,12046390
2017,9,Alaska,3599,2621654
2017,9,JetBlue,3618,3071428
2017,9,Delta,12901,12740592
2017,9,Frontier,2531,1714417
2017,9,Hawaiian,1967,1072460
2017,9,Spirit,2511,2116509
2017,9,United,11677,8607837
2017,9,Southwest,29751,15521438
2017,10,American,23808,13840057
2017,10,Alaska,3280,2637631
2017,10,JetBlue,4341,3562434
2017,10,Delta,15606,14447932
2017,10,Frontier,3651,1904630
2017,10,Hawaiian,2750,1147312
2017,10,Spirit,2645,2509263
2017,10,United,14843,9604512
2017,10,Southwest,32667,17510839
2017,11,American,19877,12870627
2017,11,Alaska,3614,2592556
2017,11,JetBlue,3733,3541178
2017,11,Delta,11161,13439175
2017,11,Frontier,3124,1905116
2017,11,Hawaiian,2130,1123065
2017,11,Spirit,2479,2396368
2017,11,United,12486,9166344
2017,11,Southwest,31326,17441866
2017,12,American,39769,13186108
2017,12,Alaska,5451,2697111
2017,12,JetBlue,5054,3711179
2017,12,Delta,23732,12365317
2017,12,Frontier,4130,2006728
2017,12,Hawaiian,2623,1193625
2017,12,Spirit,3721,2429392
2017,12,United,20944,9078490
2017,12,Southwest,44313,17084448
2018,1,American,38713,10896383
2018,1,Alaska,4832,2403131
2018,1,JetBlue,5636,3191638
2018,1,Delta,24952,10769277
2018,1,Frontier,4272,1872868
2018,1,Hawaiian,2729,1088617
2018,1,Spirit,3513,2296705
2018,1,United,19908,7828443
2018,1,Southwest,36869,15395455
2018,2,American,29978,10671007
2018,2,Alaska,4015,2360960
2018,2,JetBlue,3874,3179917
2018,2,Delta,14371,10839699
2018,2,Frontier,3505,1757237
2018,2,Hawaiian,2084,1013666
2018,2,Spirit,2763,2363852
2018,2,United,14462,7467972
2018,2,Southwest,30811,14431737
2018,3,American,32503,12688896
2018,3,Alaska,5286,2826587
2018,3,JetBlue,5167,3731941
2018,3,Delta,18727,13481396
2018,3,Frontier,3732,1988323
2018,3,Hawaiian,2330,1155543
