name,state,iata_code,lat,long
Ocean Reef Club Airport,FL,OCA,25.3254,-80.2748
Pilot Station Airport,AK,PQS,61.9346,-162.9
Crested Butte Airpark,CO,CSE,38.8519,-106.9283
LBJ Ranch Airport,TX,JCY,30.2518,-98.6225
Metropolitan Airport,MA,PMX,42.2233,-72.3114
Loring Seaplane Base,AK,WLR,55.6013,-131.637
Nunapitchuk Airport,AK,NUP,60.9056,-162.4405
Port Alice Seaplane Base,AK,PTC,55.803,-133.597
Icy Bay Airport,AK,ICY,59.969,-141.662
Port Protection Seaplane Base,AK,PPV,56.3288,-133.61
Kalakaket Creek AS Airport,AK,KKK,64.4166,-156.8204
Dunsmuir Muni-Mott Airport,CA,MHS,41.2632,-122.272
Chase Field Industrial Airport,TX,NIR,28.3624,-97.6619
Grand Canyon Bar Ten Airstrip,AZ,GCT,36.2586,-113.2312
Ellamar Seaplane Base,AK,ELW,60.8938,-146.704
Lime Village Airport,AK,LVD,61.3591,-155.44
Hog River Airport,AK,HGZ,66.2161,-155.669
Ed-Air Airport,IN,OTN,38.8514,-87.4997
Telida Airport,AK,TLF,63.3939,-153.269
Eagle Air Park,TX,BZT,28.9822,-95.5797
Entrance Island Seaplane Base,AK,HBH,57.4122,-133.4385
False Island Seaplane Base,AK,FAK,57.5322,-135.213
Blakely Island Airport,WA,BYW,48.579,-122.826
Drift River Airport,AK,DRF,60.5889,-152.162
Rinkenberger Restricted Landing Area,IL,BDF,41.2309,-89.6157
Roy Otten Memorial Airfield,MO,VRS,38.4278,-92.8752
Golden Horn Lodge Seaplane Base,AK,GDH,59.747,-158.875
Atmautluak Airport,AK,ATT,60.8667,-162.273
Livengood Camp Airport,AK,LIV,65.467,-148.6534
Pedro Bay Airport,AK,PDB,59.7896,-154.124
Ouzinkie Airport,AK,KOZ,57.9254,-152.4967
Tununak Airport,AK,TNK,60.5755,-165.272
Ben Bruce Memorial Airpark,TX,EVA,30.321,-94.0735
Hyder Seaplane Base,AK,WHD,55.9033,-130.01
Minto Al Wright Airport,AK,MNT,65.1437,-149.37
Tokeen Seaplane Base,AK,TKI,55.9371,-133.327
Aleknagik / New Airport,AK,WKK,59.2826,-158.618
Ketchikan Harbor Seaplane Base,AK,WFB,55.3499,-131.677
Naknek Airport,AK,NNK,58.7329,-157.02
Lake Brooks Seaplane Base,AK,BKF,58.5548,-155.777
Southern Seaplane Airport,LA,BCS,29.8661,-90.0222
Catalina Air-Sea Terminal Heliport,CA,SPQ,33.7492,-118.275
East 34th Street Heliport,NY,TSS,40.7426,-73.9721
New York Skyports Inc Seaplane Base,NY,QNY,40.734,-73.9729
Earl Henry Airport,OK,BWL,36.7959,-97.317
Yes Bay Lodge Seaplane Base,AK,WYB,55.9163,-131.801
Center Island Airport,WA,CWS,48.4901,-122.832
Tatitlek Airport,AK,TEK,60.8714,-146.6903
Pine Island Airport,NC,DUF,36.2535,-75.7885
Stuart Island Airpark,WA,SSW,48.6729,-123.176
Fort Bragg Airport,CA,FOB,39.4743,-123.796
Port of Poulsbo Marina Moorage Seaplane Base,WA,PUL,47.734,-122.647
Century City Heliport,CA,CCD,34.0608,-118.418
Meyers Chuck Seaplane Base,AK,WMK,55.7396,-132.255
Maxson Airfield,NY,AXB,44.312,-75.9003
Reese Airpark,TX,REE,33.5903,-102.037
Waldron Airstrip,WA,WDN,48.7118,-123.018
Whale Pass Seaplane Float Harbor Facility,AK,WWP,56.1163,-133.122
Chuathbaluk Airport,AK,CHU,61.5791,-159.216
Ugashik Airport,AK,UGS,57.5279,-157.399
Marlboro Airport,MA,MXG,42.3432,-71.509
Philadelphia Seaplane Base,PA,PSQ,39.859,-75.2996
Levelock Airport,AK,KLL,59.1281,-156.859
Saginaw Seaplane Base,AK,SGW,56.8863,-134.158
Tuntutuliak Airport,AK,WTL,60.3353,-162.667
Twin Hills Airport,AK,TWA,59.0756,-160.273
Chignik Lake Airport,AK,KCQ,56.255,-158.775
Amchitka Army Airfield,AK,AHT,51.3778,179.2592
Chena Hot Springs Airport,AK,CEX,65.0518,-146.047
Solomon State Field,AK,SOL,64.5605,-164.4457
Herendeen Bay Airport,AK,HED,55.8014,-160.899
Taylor Airport,AK,TWE,65.6793,-164.799
Tikchik Lodge Seaplane Base,AK,KTH,59.9632,-158.477
Naukati Bay Seaplane Base,AK,NKI,55.8496,-133.228
Lonely Air Station,AK,LNI,70.9107,-153.242
Candle 2 Airport,AK,CDL,65.9077,-161.926
Amook Bay Seaplane Base,AK,AOS,57.4715,-153.815
Bartletts Airport,AK,BSZ,58.2162,-157.352
Boswell Bay Airport,AK,BSW,60.4231,-146.146
Sharpe Field,AL,TGE,32.4919,-85.7756
Alitak Seaplane Base,AK,ALZ,56.8995,-154.248
Girdwood Airport,AK,AQY,60.9661,-149.126
Asbury Park Neptune Air Terminal,NJ,ARX,40.2193,-74.0908
Zahn's Airport,NY,AYZ,40.71,-73.4
Lava Falls Heliport,AZ,HAE,36.1916,-113.092
Branson Airport,MO,BKG,36.5321,-93.2005
Baca Grande Airfield,CO,BCJ,37.9648,-105.7767
Willmar Municipal -John L Rice Field,MN,ILL,45.1177,-95.1304
Baranof Warm Springs Float and Seaplane Base,AK,BNF,57.0888,-134.8331
Bolling Air Force Base,DC,BOF,38.8429,-77.0161
Brookings Airport,OR,BOK,42.0746,-124.29
Bartlett Cove Seaplane Base,AK,BQV,58.4552,-135.885
Whitesburg Municipal Airport,KY,BRG,37.2219,-82.8742
Boundary Airport,AK,BYA,64.0783,-141.113
Buzzards Point Seaplane Base,DC,BZS,38.863,-77.011
Craig Seaplane Base,AK,CGA,55.4788,-133.148
Circle Hot Springs Airport,AK,CHP,65.4855,-144.611
Chomley Seaplane Base,AK,CIV,55.217,-132.21
Crooked Creek Airport,AK,CKD,61.8679,-158.135
Crane Island Airstrip,WA,CKR,48.5978,-122.9979
Cordova Municipal Airport,AK,CKU,60.5439,-145.727
Chicken Airport,AK,CKX,64.0713,-141.952
Clear Lake Metroport,TX,CLC,29.5555,-95.1383
Coalinga Airport,CA,CLG,36.158,-120.3601
Rentschler Heliport,CT,EHT,41.7517,-72.6253
Hollister Municipal Airport,CA,HLI,36.8933,-121.41
Hughes Airport,CA,CVR,33.975,-118.417
Chitina Airport,AK,CXC,61.5829,-144.427
Chatham Seaplane Base,AK,CYM,57.5149,-134.946
Cascade Locks State Airport,OR,CZK,45.6769,-121.879
Chisana Airport,AK,CZN,62.0712,-142.048
Chistochina Airport,AK,CZO,62.5635,-144.669
Canandaigua Airport,NY,IUA,42.9089,-77.3252
Delta Junction Airport,AK,DJN,64.0504,-145.717
Dahl Creek Airport,AK,DCK,66.9433,-156.905
Decatur HI-Way Airfield,IN,DCR,40.8375,-84.8625
Deer Harbor SPB,WA,DHB,48.6167,-123.0028
Deer Park Airport,NY,DPK,40.76,-73.31
Lake Buena Vista STOLport,FL,DWS,28.3994,-81.5713
Edna Bay Seaplane Base,AK,EDA,55.9497,-133.661
Birchwood-Pocono Airport,PA,ESP,41.0643,-75.2521
Excursion Inlet Seaplane Base,AK,EXI,58.4205,-135.449
Ranger Municipal Airport,TX,RGR,32.4526,-98.6828
Falcon State Airport,TX,FAL,26.5856,-99.1398
Fort Lee Army Airfield,VA,FLE,37.284,-77.3448
Flat Airport,AK,FLT,62.4526,-157.989
Haley Army Airfield,IL,FSN,42.221,-87.817
Gabbs Airport,NV,GAB,38.9241,-117.959
Pope Field,IN,GFD,39.7903,-85.7361
Goodnews Airport,AK,GNU,59.1174,-161.577
Granite Mountain Air Station,AK,GMT,65.4021,-161.281
Gordonsville Municipal Airport,VA,GVE,38.156,-78.1658
Haycock Airport,AK,HAY,65.201,-161.157
Hanchey Army (Fort Rucker) Heliport,AL,HEY,31.346,-85.6543
Tusi AHP (Hunter Liggett) Heliport,CA,HGT,35.9935,-121.237
Princeville Airport,HI,HPV,22.2092,-159.446
Waikoloa Heliport,HI,WKL,19.9205,-155.8607
Healy Lake Airport,AK,HKB,63.9958,-144.6926
Hollis Clark Bay Seaplane Base,AK,HYL,55.4816,-132.646
Ivishak Airport,AK,IVH,69.4066,-148.2881
Quartz Creek Airport,AK,JLA,60.4827,-149.719
Pan Am Building Heliport,NY,JPB,40.7533,-73.9765
Pentagon Army Heliport,DC,JPN,38.8741,-77.0575
West 30th St. Heliport,NY,JRA,40.7545,-74.0071
Downtown-Manhattan/Wall St Heliport,NY,JRB,40.7012,-74.009
Animas Air Park,CO,AMK,37.2032,-107.869
Broadus Airport,MT,BDX,45.4725,-105.454
Eureka Airport,NV,EUE,39.6042,-116.005
Jackpot Airport/Hayden Field,NV,KPT,41.976,-114.658
Rolla Downtown Airport,MO,RLA,37.9357,-91.8135
Elizabeth Field,NY,FID,41.2513,-72.0316
Humboldt Municipal Airport,IA,HUD,42.7361,-94.2452
Jefferson County International Airport,WA,TWD,48.0538,-122.811
Kayenta Airport,AZ,MVM,36.7164,-110.2284
Columbia County Airport,NY,HCC,42.2913,-73.7103
Ardmore Downtown Executive Airport,OK,AHD,34.147,-97.1227
Grand Canyon West Airport,AZ,GCW,35.9904,-113.816
Lampson Field,CA,CKE,38.9906,-122.901
Montague-Yreka Rohrer Field,CA,ROF,41.7304,-122.546
Fremont County Airport,CO,CNE,38.428,-105.106
Rouses Point Seaplane Base,NY,RSX,44.9917,-73.3635
Cooperstown-Westville Airport,NY,COP,42.6292,-74.891
Council Airport,AK,CIL,64.8979,-163.703
Iraan Municipal Airport,TX,IRB,30.9057,-101.892
Gansner Field,CA,GNF,39.9439,-120.945
Chiloquin State Airport,OR,CHZ,42.5794,-121.8791
St. Mary's County Regional Airport,MD,LTW,38.3154,-76.5501
Arapahoe Municipal Airport,NE,AHF,40.3395,-99.9065
Princeton Airport,NJ,PCT,40.3992,-74.6589
Calverton Executive Airpark,NY,CTO,40.9151,-72.7919
Grand Lake Regional Airport,OK,NRI,36.5776,-94.8619
Grants Pass Airport,OR,GTP,42.5101,-123.388
Jerry Tyler Memorial Airport,MI,NLE,41.8359,-86.2252
Grand Coulee Dam Airport,WA,GCD,47.922,-119.083
Valle Airport,AZ,VLE,35.6506,-112.148
Perry-Foley Airport,FL,FPY,30.0693,-83.5806
Manti-Ephraim Airport,UT,NTJ,39.3291,-111.615
Mount Pleasant Airport,UT,MSD,39.5267,-111.476
Salina Gunnison Airport,UT,SBO,39.0291,-111.838
Central Jersey Regional Airport,NJ,JVI,40.5244,-74.5984
Eunice Airport,LA,UCE,30.4663,-92.4238
Gold Beach Municipal Airport,OR,GOL,42.4134,-124.424
Kentland Municipal Airport,IN,KKT,40.7587,-87.4282
