WAGE_CAT,CARRIER,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All,Alaska,71780,71588,71745,74091,77415,76413,75289,76338,75390,85641,89280
All,Allegiant,41068,49889,55237,53630,54670,65064,59214,64869,75645,73152,72363
All,American,62961,63916,63953,64576,68523,70486,73959,82236,89002,90791,93247
All,Delta,59629,61814,61021,67021,76485,86138,93441,97950,99416,101149,110039
All,Frontier,38379,44403,52251,46083,54795,52667,78445,70675,80136,88137,88133
All,Hawaiian,53235,56194,54236,53896,57069,60477,63762,71387,74007,69706,73574
All,JetBlue,58563,62811,64531,65676,68676,72742,73328,73834,81896,86896,94167
All,Southwest,77996,80408,82847,81313,86087,88416,94107,94063,93623,95599,98878
All,Spirit,55786,52094,57360,46475,54040,58384,58852,62951,57010,66103,73019
All,United,58239,65011,61214,63215,70075,74445,82277,86371,98980,102069,103852
Attendant,Alaska,35007,35220,35433,35433,36775,35334,39330,39908,39262,40753,42240
Attendant,Allegiant,30233,36064,39481,38435,35587,31685,26635,26209,13662,13155,18493
Attendant,American,50933,50510,51197,51383,51628,49692,55201,58252,62366,65188,69664
Attendant,Delta,39593,39638,40475,44156,47832,48149,49356,54155,58341,59053,61488
Attendant,Frontier,29400,18270,19105,19651,28233,20710,0,0,0,0,0
Attendant,Hawaiian,44169,47010,47089,46671,46426,49062,50355,51766,55283,55049,54655
Attendant,JetBlue,33787,37248,37987,37591,41203,42441,44948,41765,44844,49246,49591
Attendant,Southwest,56819,52110,54120,53787,56716,63617,61796,59831,60389,57086,56794
Attendant,Spirit,27058,23146,21149,21821,25789,27466,24376,30829,27366,27453,29570
Attendant,United,40559,40373,37888,46170,46946,47927,47096,46483,62461,66252,66363
Handlers,Alaska,29704,31789,35586,36505,37576,38604,36786,36328,36405,39018,42401
Handlers,Allegiant,15792,19105,17986,15998,16879,26359,28677,44282,49548,24554,20842
Handlers,American,41408,42127,42790,44005,43107,42046,39578,47316,53438,50479,49414
Handlers,Delta,41779,44681,45654,47006,50057,51073,52532,59355,62570,63555,66061
Handlers,Frontier,18246,28551,37160,24345,27611,17656,0,0,0,0,0
Handlers,Hawaiian,28548,29833,27239,28132,29792,29383,31160,30502,30847,30120,34728
Handlers,JetBlue,34223,37128,39593,40322,42120,43970,44820,46499,50919,54827,55918
Handlers,Southwest,49285,52030,54187,51048,56662,55662,61689,57297,58207,59913,60630
Handlers,Spirit,36937,31228,42980,40743,4964,5727,11181,14698,17702,21033,24979
Handlers,United,26918,25206,25973,29288,29332,27894,31472,33103,50799,49073,48738
Maintenance,Alaska,76796,76972,80347,84243,84048,84488,88803,92931,106793,98147,112895
Maintenance,Allegiant,90121,75294,91185,92958,71006,71257,71507,70654,90383,98211,110424
Maintenance,American,63389,65892,65876,65913,66334,70393,73729,80012,92328,91601,88550
Maintenance,Delta,52477,52534,50040,53980,61809,64479,64548,70925,73552,66784,68390
Maintenance,Frontier,81164,75738,93573,56043,58143,71004,86087,82061,88134,87189,85559
Maintenance,Hawaiian,62209,64835,70054,67753,70612,72071,74975,75562,77470,79410,77802
Maintenance,JetBlue,58261,58266,60336,63085,66847,62046,58631,64770,70261,72242,76584
Maintenance,Southwest,98787,103579,112532,121401,107333,110478,114074,131063,117936,127142,138099
Maintenance,Spirit,57646,69591,69666,89436,100006,122556,119043,114987,126420,122814,136845
Maintenance,United,75360,75290,76686,63086,80186,80903,55696,55359,49607,58070,60641
Pilot,Alaska,163096,50627,50855,155024,159858,159839,154615,154155,162389,196568,195406
Pilot,Allegiant,65419,83839,89398,87993,98891,101330,103747,116721,156931,182123,163672
Pilot,American,137482,139872,139963,140689,147312,151558,206244,214549,236233,229890,238695
Pilot,Delta,132374,142801,149925,158227,181804,193555,195379,228112,223849,230669,251842
Pilot,Frontier,96119,101126,113250,116122,114868,125811,160260,151025,144334,212074,186441
Pilot,Hawaiian,117351,120097,117354,119225,134667,145434,149362,141059,172163,187487,186249
Pilot,JetBlue,124680,140546,139744,139687,147109,148428,149341,154502,173230,188036,217230
Pilot,Southwest,176977,192289,203196,187551,194598,197782,230626,244437,241610,239971,245344
Pilot,Spirit,109932,113327,113941,116276,107931,109422,113086,120251,99913,132720,161316
Pilot,United,125465,124228,125690,135004,164581,185430,185102,214090,240514,250319,257376
