,YEAR,PILOTS & CO-PILOTS,FLIGHT ATTENDANTS,MAINTENANCE,"PASSENGER, CARGO AND  AIRCRAFT HANDLING",OTHER,TOTAL,CARRIER
0,2009,10601,5709,6819,3574,12684,1290,American
1,2010,32595,17335,20490,11125,38409,3948,American
2,2011,32189,16905,19910,11122,37267,3885,American
3,2012,33526,16912,20344,12015,36684,4020,American
4,2013,33080,17356,23423,13983,38655,4384,American
5,2014,30751,16556,24210,13697,38981,4292,American
6,2015,11875,6095,10203,4535,9404,1485,American
7,2016,34135,17576,28962,13489,25573,4272,American
8,2017,33961,17127,29657,13506,24148,4217,American
9,2018,32647,17590,30452,14276,24405,4320,American
10,2019,33774,18709,29971,14932,25375,4486,American
22,2009,10310,6038,12771,4415,9046,1463,Delta
23,2010,10395,6085,15207,4451,7435,1449,Delta
24,2011,10633,5951,13644,4354,7303,1420,Delta
25,2012,11023,6325,13974,4413,8187,1489,Delta
26,2013,11446,6719,15009,4565,9563,1590,Delta
27,2014,12058,6883,15663,4864,9861,1662,Delta
28,2015,12100,7031,15433,5070,9889,1693,Delta
29,2016,11916,6932,15200,5209,10261,1707,Delta
30,2017,11457,7016,15150,5251,9967,1697,Delta
31,2018,11530,7102,15911,5409,9869,1726,Delta
43,2009,10049,4323,13652,2664,19902,1204,United
44,2010,29428,12727,38995,7912,58192,3524,United
45,2011,27596,12005,37169,7241,51079,3259,United
46,2012,28047,12921,33900,6569,52853,3156,United
47,2013,26417,12696,40627,6199,57935,3099,United
48,2014,25723,12794,40524,6656,61865,3217,United
49,2015,25753,13402,40823,7238,65668,3402,United
50,2016,26674,13027,41571,7192,65649,3388,United
51,2017,29246,15057,32375,8547,65104,3762,United
52,2018,29968,15134,42968,8662,67587,3924,United
53,2019,29817,14945,45626,8444,64582,3874,United
76,2009,18029,13173,60411,6993,39606,3000,Southwest
77,2010,57312,36423,193851,22802,97429,9316,Southwest
78,2011,58477,35465,203630,22344,94942,9193,Southwest
79,2012,18032,12099,74649,7428,31310,3058,Southwest
80,2013,18176,12051,64277,7867,30995,3102,Southwest
81,2014,18121,12708,62664,7482,31690,3076,Southwest
82,2015,58200,35187,196023,22550,93877,9157,Southwest
83,2016,58250,33433,200817,22311,86032,8924,Southwest
84,2017,57226,33077,196618,21100,82912,8634,Southwest
85,2018,54925,32480,197675,22069,85041,8727,Southwest
86,2019,52914,30735,191650,21470,79630,8378,Southwest
87,2009,12475,11091,42490,4962,13226,2116,Jetblue
88,2010,39742,34710,130194,14793,40654,6480,Jetblue
89,2011,39148,35148,132973,16039,41358,6734,Jetblue
90,2012,39807,35139,141530,17046,44817,7039,Jetblue
91,2013,39472,35418,143903,17733,44358,7151,Jetblue
92,2014,37444,34843,130318,18130,48960,7194,Jetblue
93,2015,37149,34263,136873,18118,55645,7303,Jetblue
94,2016,37805,31687,151819,18810,56475,7362,Jetblue
95,2017,37236,28441,149502,18261,56203,7063,Jetblue
96,2018,37432,28139,142369,19086,57102,7166,Jetblue
97,2019,35977,26459,141689,19284,54732,6985,Jetblue
109,2009,14839,10631,39697,3669,23230,1971,Frontier
110,2010,41180,17953,113288,16551,237227,6441,Frontier
111,2011,47138,19866,136760,19081,328505,7435,Frontier
112,2012,49167,21562,129983,16987,248883,7260,Frontier
113,2013,48660,29267,133410,25759,233711,9462,Frontier
114,2014,45809,33900,165204,23255,147218,9285,Frontier
115,2015,40865,217196,210228,28222,168002,13197,Frontier
116,2016,40360,262341,241070,26483,182032,13071,Frontier
117,2017,43003,329411,250746,26332,132283,13111,Frontier
118,2018,44065,355479,277612,25968,218347,13769,Frontier
119,2019,44718,428059,277801,25273,213358,13711,Frontier
120,2009,16470,12975,33884,11083,34770,3470,Allegiant
121,2010,47824,43790,74461,41917,128812,11134,Allegiant
122,2011,46111,42110,83082,61894,94104,11740,Allegiant
123,2012,50293,38179,83687,72394,74989,11630,Allegiant
124,2013,48931,37457,75435,61198,75435,10983,Allegiant
125,2014,44418,40870,155462,84700,78476,12674,Allegiant
126,2015,44192,34764,91630,91049,67010,11265,Allegiant
127,2016,40285,32399,80763,102744,65111,10679,Allegiant
128,2017,39025,30017,92286,104177,83202,10833,Allegiant
129,2018,43637,30323,101570,74183,73009,10641,Allegiant
130,2019,43537,27900,108014,77948,106995,10958,Allegiant
131,2009,12590,7022,22198,4594,11417,1746,Alaska
132,2010,13350,1457143,75754,16185,42200,5728,Alaska
133,2011,13418,1619080,81947,18591,39229,5992,Alaska
134,2012,40244,19460,85503,19165,40479,6057,Alaska
135,2013,40528,19490,89715,20517,41436,6240,Alaska
136,2014,39348,19194,91983,20153,35466,6009,Alaska
137,2015,38760,18745,103166,19551,34406,5907,Alaska
138,2016,38399,18685,107112,20177,35496,5993,Alaska
139,2017,38025,17835,110952,18285,32169,5637,Alaska
140,2018,33826,17300,107171,20322,35749,5744,Alaska
141,2019,33817,17639,112674,21555,37919,5948,Alaska
164,2009,14636,11317,34206,11317,289933,3203,Spirit
165,2010,40263,29827,128997,30547,397108,8614,Spirit
166,2011,41760,29700,163743,45501,421846,9952,Spirit
167,2012,42757,29214,206274,50129,84333,8196,Spirit
168,2013,40644,28223,218643,87669,139595,9643,Spirit
169,2014,39788,28665,203575,86645,142157,10071,Spirit
170,2015,41513,25824,198824,172271,261817,10943,Spirit
171,2016,42649,26073,170252,208587,224976,10944,Spirit
172,2017,36843,23415,182240,203528,223245,10056,Spirit
173,2018,37626,23383,198729,256865,249420,10267,Spirit
174,2019,42673,25262,229873,274605,252119,11282,Spirit
