CARRIER,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,29704.16,31788.96,35585.59,36505.17,37575.54,38604.10,36785.98,36328.28,36405.00,39017.97,42401.01
Allegiant,15791.67,19104.66,17986.41,15998.17,16879.38,26358.86,28677.05,44281.83,49547.68,24554.21,20842.01
American,41407.67,42126.56,42789.82,44004.86,43107.25,42045.54,39578.11,47316.19,53438.07,50478.95,49413.82
Delta,41778.97,44680.82,45654.15,47006.45,50057.10,51072.90,52531.73,59354.88,62569.54,63554.74,66061.01
Frontier,18245.85,28550.61,37159.77,24344.86,27610.72,17655.78,6955.79,4176.36,3518.12,2946.29,6650.46
Hawaiian,28548.33,29832.73,27239.09,28131.88,29792.50,29382.69,31160.24,30501.78,30846.85,30120.45,34728.47
JetBlue,34222.87,37128.32,39593.32,40321.87,42120.49,43969.64,44820.34,46499.17,50919.48,54827.32,55917.81
Southwest,49284.54,52030.18,54186.94,51048.26,56662.06,55662.19,61689.29,57297.39,58207.45,59912.94,60629.57
Spirit,36936.80,31227.71,42980.15,40743.37,4964.42,5727.05,11180.65,14698.38,17701.62,21032.84,24978.78
United,26917.76,25206.11,25972.61,29287.93,29331.91,27893.50,31472.25,33103.42,50798.54,49072.79,48737.98
