CARRIER,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,76796.01,76972.48,80346.63,84243.08,84048.48,84488.30,88803.01,92931.29,106793.20,98146.96,112895.35
Allegiant,90121.02,75294.43,91184.59,92958.32,71005.69,119418.86,71507.25,70654.45,90383.05,98210.66,110423.83
American,63388.71,65892.16,65875.90,65913.41,66334.29,70392.78,73728.56,80012.16,92327.72,91600.68,88549.65
Delta,52476.76,52534.11,50040.02,53980.40,61808.53,64478.90,64547.74,70925.01,73552.34,66784.22,68390.50
Frontier,81163.71,75738.20,93573.09,56042.51,58142.63,71004.39,86086.52,82060.70,88134.08,87189.48,85559.47
Hawaiian,62209.13,64834.70,70053.66,67752.74,70612.33,72070.80,74974.87,75561.82,77470.15,79410.45,77802.41
JetBlue,58261.08,58265.73,60336.10,63085.07,66847.21,62045.93,58631.19,64769.68,70260.78,72242.15,76583.52
Southwest,98786.78,103578.72,112531.90,121400.89,107333.33,110478.32,114074.07,131063.49,117935.60,127142.11,138098.55
Spirit,57646.07,69590.76,69665.53,89435.61,100006.33,122555.58,119042.82,114986.81,126420.13,122813.74,136845.05
United,75359.54,75290.00,76685.64,63085.92,80185.92,80903.39,55696.13,55358.62,49606.82,58069.55,60641.18
