"Net
  Income (Loss)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018***,2019,2020,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR Corp,,813,"(1,762)","(3,511)","(1,228)",(751),(857),231,504,"(2,071)","1,474",469,"(1,965)","(1,876)","(1,834)","2,882","7,610","2,676","1,919","1,412","1,686","(8,885)",,,,,
"Continental Airlines
  Inc**",,342,(95),(462),28,(409),(68),343,459,(585),(282),-,-,-,-,-,-,-,-,-,-,-,,,,,
Delta Air Lines Inc,,828,"(1,216)","(1,272)",(773),"(5,198)","(3,818)","(6,203)","1,612","(8,922)","1,237",593,854,"1,009","10,540",659,"4,526","4,373","3,577","3,935","4,767","(12,385)",,,,,
Northwest Airlines Corp,,256,(423),(798),248,(862),"(2,533)","(2,835)","2,093","(6,001)",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
UAL Corp**,,50,"(2,145)","(3,212)","(2,808)","(1,721)","(21,176)","22,876",403,"(5,348)",(651),253,840,(723),571,"1,132","7,340","2,263","2,131","2,122","3,009","(7,069)",,,,,
US Airways Group Inc I,,(269),"(2,117)","(1,646)","1,461",(611),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
US Airways Group Inc II,,-,-,-,-,-,-,304,427,"(2,210)",(205),502,71,637,392,-,-,-,-,-,-,-,,,,,
"America West Holdings
  Corp",,8,(250),(388),57,(89),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
Midwest Air Group Inc,,1,(15),(11),(13),(43),(65),5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
--sub Network and Regionals,,"2,028","(8,023)","(11,299)","(3,028)","(9,684)","(28,517)","14,721","5,498","(25,137)","1,573","1,817",(200),(953),"9,669","4,673","19,476","9,312","7,627","7,469","9,462","(28,339)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Airlines Co,,626,511,188,372,215,484,499,645,178,99,459,178,421,754,"1,136","2,181","2,244","3,488","2,465","2,300","(3,074)",,,,,
AirTran Holdings Inc,,47,(3),11,101,10,8,15,53,(274),135,39,-,-,-,-,-,-,-,-,-,-,,,,,
JetBlue Airways Corp,,(21),39,55,103,46,(20),(1),18,(76),58,97,86,128,168,401,677,759,"1,147",188,569,"(1,354)",,,,,
Alaska Air Group Inc,,(67),(43),(119),14,(15),(6),(53),125,(136),122,251,245,316,508,605,848,814,"1,034",437,769,"(1,324)",,,,,
Hawaiian Holdings Inc,,(19),5,(58),(17),(7),(12),(41),7,29,117,110,(3),53,52,69,183,235,364,233,224,(511),,,,,
--sub Hybrid,,567,509,77,572,248,453,420,848,(279),530,956,506,918,"1,482","2,211","3,889","4,052","6,033","3,323","3,862","(6,263)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frontier Airlines
  Holdings Inc*",,55,17,(23),13,(23),(14),(20),(60),(248),-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Spirit Airlines, Inc.",,-,-,-,-,-,-,-,-,-,-,72,76,108,177,225,317,265,421,156,335,(429),,,,,
-- sub ULCC,,55,17,(23),13,(23),(14),(20),(60),(248),-,72,76,108,177,225,317,265,421,156,335,(429),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total All Sectors,,"2,650","(7,497)","(11,245)","(2,443)","(9,459)","(28,078)","15,121","6,285","(25,664)","2,103","2,845",382,74,"11,328","7,109","23,682","13,629","14,081","10,948","13,659","(35,031)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Frontier
  Airlines Inc before 2006. Year end March 31 treated as the year before.",,,,,,,,,,,,,,,,,,,,,,
"** United and
  Continental are assumed as a single carrier beginning October 1, 2010",,,,,,,,,,,,,,,,,,,,,,
