System Total Enplaned Passengers,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,"79,567","79,388","81,138","81,477","81,508","86,382","78,179","94,130","88,889","91,620","98,098","98,200","98,212","92,818","85,783","258,607","258,447","259,391","261,001","264,059","355,632","433,588","434,766","444,683","467,464","197,267",
Continental,,"35,284","35,984","38,966","41,691","44,012","45,409","42,780","40,009","38,936","40,746","42,822","46,776","49,006","46,965","44,019","130,680","135,803",-,-,-,-,-,-,-,-,-,
Delta,,"86,963","97,269","103,208","103,725","105,529","105,709","94,180","90,924","84,246","86,902","86,105","73,655","73,051","71,728","67,852","333,601","341,394","350,520","362,066","388,470","416,486","429,872","437,651","456,766","488,263","165,753",
Northwest,,"49,370","52,722","54,704","50,539","54,764","56,927","52,374","51,827","51,976","55,446","56,537","54,888","53,737","48,921","41,117",-,-,-,-,-,-,-,-,-,-,-,
United,,"78,808","81,945","84,247","86,868","86,581","83,913","75,182","68,494","66,101","70,880","66,802","69,325","68,386","63,150","56,083","162,296","151,500","277,638","270,903","271,711","286,575","300,933","322,200","339,962","349,129","113,894",
US Airways,,"57,035","56,894","58,814","58,094","55,893","59,830","56,148","47,168","41,264","42,408","41,869","36,496","42,200","54,820","51,016","155,560","158,876","162,830","171,136","172,661","84,811",-,-,-,-,-,
America West,,"16,848","18,178","18,331","17,792","18,704","19,954","19,594","19,451","20,048","21,132","22,130","21,190","15,665",-,-,-,-,-,-,-,-,-,-,-,-,-,
--sub Network,,"403,876","422,380","439,409","440,186","446,991","458,125","418,437","412,004","391,461","409,135","414,363","400,529","400,258","378,401","345,870","1,040,743","1,046,020","1,050,379","1,065,106","1,096,900","1,143,504","1,164,392","1,194,616","1,241,411","1,304,855","476,914",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest,,"50,151","55,491","51,669","59,177","65,486","72,710","73,743","72,516","74,788","81,150","88,474","96,349","101,990","102,042","101,430","318,885","331,916","336,887","346,185","381,814","433,994","455,454","473,260","491,026","488,132","203,437",
