Total System Revenue Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,"102,754","104,618","107,030","108,957","111,745","116,595","106,343","121,781","120,335","130,168","138,377","139,458","138,455","131,761","122,423","125,490","126,492","126,404","128,410","129,340","167,066","199,013","201,353","205,454","212,860","77,067"
Continental,,"35,798","37,588","44,294","51,028","58,028","62,357","58,763","57,304","57,586","63,373","68,371","76,323","81,432","80,499","77,788","79,738","82,127",-,-,-,-,-,-,-,-,-
Delta,,"85,176","93,929","99,689","103,342","104,784","107,852","97,666","95,324","89,430","98,276","103,737","98,909","103,450","105,699","100,736","168,142","168,289","169,591","172,925","181,195","188,375","191,722","196,882","205,322","217,905","66,563"
Northwest,,"62,668","68,719","72,174","66,828","74,263","79,252","73,280","72,143","68,764","73,405","75,920","72,688","73,022","71,643","62,954",-,-,-,-,-,-,-,-,-,-,-
United,,"111,812","116,698","121,427","124,610","125,466","126,934","116,636","109,462","104,394","115,231","114,274","117,474","117,403","110,064","100,475","102,524","99,636","179,398","178,561","178,989","183,625","186,157","193,427","204,905","213,231","62,628"
US Airways,,"38,102","39,296","41,749","41,386","41,565","46,925","46,000","40,079","37,785","40,506","40,152","37,368","43,567","60,568","57,887","58,973","60,774","62,430","66,160","66,301","32,395",-,-,-,-,-
America West,,"13,313","15,321","16,204","16,374","17,709","19,113","19,080","19,871","21,285","23,335","24,262","23,554","17,689",-,-,-,-,-,-,-,-,-,-,-,-,-
--sub Network,,"449,622","476,170","502,567","512,526","533,560","559,029","517,767","515,964","499,580","544,295","565,092","565,773","575,019","560,235","522,263","534,867","537,318","537,823","546,056","555,825","571,461","576,892","591,663","615,681","643,995","206,258"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest,,"23,776","27,228","28,531","30,837","36,485","42,230","44,606","45,507","48,043","53,534","60,352","67,789","72,416","73,644","74,576","78,138","83,912","85,641","90,266","101,275","117,616","124,900","129,150","133,411","131,380","54,266"
jetBlue,,-,-,-,-,-,"1,003","3,280","6,821","11,520","15,722","20,188","23,312","25,723","26,092","25,962","28,293","30,710","33,577","35,855","37,838","41,751","45,675","47,249","50,822","53,620","18,610"
AirTran,,59,934,931,"2,652","3,588","4,155","4,574","5,666","7,165","8,485","11,304","13,814","17,252","18,789","18,512","19,564","20,050","17,326","14,195","6,868",-,-,-,-,-,-
Alaska,,"8,584","9,831","10,386","11,283","11,786","11,987","12,249","13,184","14,572","16,234","16,918","17,825","18,455","18,714","18,365","20,353","22,590","24,421","26,176","27,782","30,345","32,864","35,304","46,763","50,416","17,439"
Virgin America,,-,-,-,-,-,-,-,-,-,-,-,-,581,"3,434","5,512","6,236","8,024","9,932","9,843","10,092","10,437","12,177","12,958","3,028",-,-
Hawaiian,,"3,597","3,840","4,161","4,218","4,880","5,807","6,326","5,214","5,792","6,215","6,772","6,959","8,050","7,866","8,142","8,670","10,144","12,229","13,688","13,877","14,412","15,474","16,301","17,190","17,810","4,571"
-- sub LCC,,"36,017","41,833","44,010","48,990","56,738","65,181","71,034","76,392","87,092","100,190","115,534","129,698","142,476","148,539","151,068","161,254","175,430","183,126","190,023","197,732","214,561","231,091","240,962","251,215","253,225","94,886"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegiant,,-,-,-,-,-,45,17,107,447,895,"1,284","2,235","3,115","3,833","4,738","5,432","5,602","6,496","7,108","7,857","8,994","10,342","11,174","12,385","13,340","7,754"
Spirit,,549,588,819,"1,178","2,250","2,814","3,343","4,100","4,582","4,888","4,517","4,561","6,856","6,599","5,940","6,627","8,007","9,621","12,000","14,159","17,996","21,583","24,604","30,592","35,245","19,316"
Frontier,,347,783,"1,028","1,287","2,003","2,596","2,710","3,061","4,566","6,014","7,285","8,360","9,893","9,933","8,562","9,215","10,332","10,586","9,858","11,154","13,395","16,009","18,909","20,875","24,192","11,435"
-- sub Other,,896,"1,370","1,847","2,464","4,253","5,456","6,071","7,268","9,595","11,798","13,086","15,156","19,865","20,366","19,240","21,274","23,941","26,703","28,966","33,170","40,385","47,934","54,687","63,852","72,776","38,504"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total All Sectors,,"486,535","519,374","548,424","563,980","594,551","629,666","594,871","599,624","596,267","656,283","693,712","710,628","737,360","729,140","692,570","717,395","736,689","747,652","765,045","786,728","826,406","855,917","887,312","930,748","969,997","339,648"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Industry,,"557,234","598,203","622,234","635,795","670,779","708,762","725,027","654,337","674,137","752,266","795,096","810,120","842,026","823,783","779,997","809,068","825,916","832,734","848,000","869,677","908,795","939,240","969,904","1,016,999","1,061,006","382,098"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:US DOT Form 41 via BTS, schedule T2.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
